relative_ms;timestamp_ms;channel;meaning;length;packet_no;changed_bytes;hex;origin;connection_epoch
50250;1787229965358;1509;BatteryChange / Akku-Livestand;11;15;0,1,5,6,9,10;0B-B8-FF-FF-3B-BC-48-00-00-00-90;NOTIFICATION;1
50473;1787229965581;150A;MotorUpdate / Motor-Livestand;10;15;0,1;07-D0-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
50670;1787229965778;150B;Motor-/Controllerblock;20;15;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
50882;1787229965990;150D;Fahrstatistik Max/Ø;20;15;1;00-DA-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
51924;1787229967032;1502;Akkuinformationen;16;16;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
52342;1787229967450;1505;BikePerformance / Fahrleistung;18;16;0,1,2,3,7;00-00-00-00-FF-FF-00-DA-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
52550;1787229967658;1506;Trip / Kilometer & Betriebszähler;16;16;7;00-00-1B-DA-00-02-2B-F4-00-00-02-C9-00-00-00-00;NOTIFICATION;1
52973;1787229968081;1508;Settings / Licht & Fahrstufe;17;16;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
53174;1787229968282;1509;BatteryChange / Akku-Livestand;11;16;0,1,5,6,10;07-D0-FF-FF-3B-BB-E4-00-00-00-30;NOTIFICATION;1
53384;1787229968492;150A;MotorUpdate / Motor-Livestand;10;16;0,1;03-E8-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
53593;1787229968701;150B;Motor-/Controllerblock;20;16;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
53803;1787229968911;150D;Fahrstatistik Max/Ø;20;16;–;00-DA-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
54843;1787229969951;1502;Akkuinformationen;16;17;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
55263;1787229970371;1505;BikePerformance / Fahrleistung;18;17;0,1,2,3;03-C0-03-C0-FF-FF-00-DA-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
55473;1787229970581;1506;Trip / Kilometer & Betriebszähler;16;17;3,7;00-00-1B-DB-00-02-2B-F7-00-00-02-C9-00-00-00-00;NOTIFICATION;1
55894;1787229971002;1508;Settings / Licht & Fahrstufe;17;17;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
56092;1787229971200;1509;BatteryChange / Akku-Livestand;11;17;10;07-D0-FF-FF-3B-BB-E4-00-00-00-60;NOTIFICATION;1
56303;1787229971411;150A;MotorUpdate / Motor-Livestand;10;17;0,1;07-D0-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
56512;1787229971620;150B;Motor-/Controllerblock;20;17;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
56723;1787229971831;150D;Fahrstatistik Max/Ø;20;17;3;00-DA-00-85-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
57763;1787229972871;1502;Akkuinformationen;16;18;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
58184;1787229973292;1505;BikePerformance / Fahrleistung;18;18;0,1,2,3;00-00-00-00-FF-FF-00-DA-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
58393;1787229973501;1506;Trip / Kilometer & Betriebszähler;16;18;7;00-00-1B-DB-00-02-2B-FA-00-00-02-C9-00-00-00-00;NOTIFICATION;1
58803;1787229973911;1508;Settings / Licht & Fahrstufe;17;18;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
59013;1787229974121;1509;BatteryChange / Akku-Livestand;11;18;5,6;07-D0-FF-FF-3B-BC-48-00-00-00-60;NOTIFICATION;1
59222;1787229974330;150A;MotorUpdate / Motor-Livestand;10;18;–;07-D0-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
59433;1787229974541;150B;Motor-/Controllerblock;20;18;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
59643;1787229974751;150D;Fahrstatistik Max/Ø;20;18;–;00-DA-00-85-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
60679;1787229975787;1502;Akkuinformationen;16;19;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
61112;1787229976220;1505;BikePerformance / Fahrleistung;18;19;0,1,2,3;01-E0-01-E0-FF-FF-00-DA-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
